date,total_cases_portugal,total_deaths_portugal,cfr_portugal,total_cases_mundo,total_deaths_mundo,cfr_mundo
2020-08-26,56982,1806,3.1694219227124356,23945761,902519,3.7690136471336197
2020-08-27,56982,1806,3.1694219227124356,24213016,908896,3.7537496361461122
2020-08-28,56982,1806,3.1694219227124356,24484862,915219,3.7378973179428168
2020-08-29,56982,1806,3.1694219227124356,24752564,920981,3.7207498988791623
2020-08-30,59304,1827,3.080736543909348,25146779,927592,3.688710987598054
2020-08-31,59304,1827,3.080736543909348,25403530,933324,3.6739933387210364
2020-09-01,59304,1827,3.080736543909348,25613113,938072,3.6624677367409424
2020-09-02,59304,1827,3.080736543909348,25867680,943126,3.6459628385692104
2020-09-03,59304,1827,3.080736543909348,26133806,949276,3.632367975793499
2020-09-04,59304,1827,3.080736543909348,26411692,955428,3.6174433656124716
2020-09-05,59304,1827,3.080736543909348,26688962,961074,3.6010167798957484
2020-09-06,61870,1849,2.9885243251979956,27131246,967588,3.5663234928465877
2020-09-07,61870,1849,2.9885243251979956,27378737,976697,3.5673559375657105
2020-09-08,61870,1849,2.9885243251979956,27593113,983247,3.563378296606113
2020-09-09,61870,1849,2.9885243251979956,27814369,987858,3.5516103205505036
2020-09-10,61870,1849,2.9885243251979956,28060864,992794,3.5380022511067373
2020-09-11,61870,1849,2.9885243251979956,28337195,998622,3.5240679255656744
2020-09-12,61870,1849,2.9885243251979956,28620142,1004250,3.5088924436503492
2020-09-13,65688,1877,2.8574473267567897,29087239,1010829,3.475163111906221
2020-09-14,65688,1877,2.8574473267567897,29351518,1016046,3.4616471965777036
2020-09-15,65688,1877,2.8574473267567897,29580509,1021009,3.4516275565102688
2020-09-16,65688,1877,2.8574473267567897,29825463,1025734,3.439121800053867
2020-09-17,65688,1877,2.8574473267567897,30103569,1031453,3.426347885860311
2020-09-18,65688,1877,2.8574473267567897,30395411,1037397,3.413005338207139
2020-09-19,65688,1877,2.8574473267567897,30681824,1042751,3.398595207377501
2020-09-20,70206,1926,2.743355268780446,31182980,1049871,3.366807790660161
2020-09-21,70206,1926,2.743355268780446,31447895,1054865,3.354326259356946
2020-09-22,70206,1926,2.743355268780446,31673698,1059322,3.3444847519857013
2020-09-23,70206,1926,2.743355268780446,31925638,1064027,3.332829245260502
2020-09-24,70206,1926,2.743355268780446,32216943,1069371,3.3192814104056985
2020-09-25,70206,1926,2.743355268780446,32503520,1074922,3.3070941239594975
2020-09-26,70206,1926,2.743355268780446,32790513,1080426,3.294934727004729
2020-09-27,75021,1963,2.616600685141494,33286679,1087589,3.2673400671782247
2020-09-28,75021,1963,2.616600685141494,33550105,1092662,3.256806498817217
2020-09-29,75021,1963,2.616600685141494,33774036,1097023,3.2481252758776002
2020-09-30,75021,1963,2.616600685141494,34027922,1101626,3.237417788838237
2020-10-01,75021,1963,2.616600685141494,34318515,1107218,3.226299273147454
2020-10-02,75021,1963,2.616600685141494,34616558,1112835,3.2147476938637287
2020-10-03,75021,1963,2.616600685141494,34910746,1117870,3.202079955552941
2020-10-04,80404,2024,2.517287697129496,35419554,1125160,3.176663376393728
2020-10-05,80404,2024,2.517287697129496,35692511,1130002,3.1659358457576716
2020-10-06,80404,2024,2.517287697129496,35922334,1134512,3.1582357649700605
2020-10-07,80404,2024,2.517287697129496,36194525,1139110,3.147188697738125
2020-10-08,80404,2024,2.517287697129496,36515776,1144557,3.1344178472340287
2020-10-09,80404,2024,2.517287697129496,36829884,1150377,3.123487980575774
2020-10-10,80404,2024,2.517287697129496,37150122,1155600,3.1106223554259125
2020-10-11,87912,2105,2.3944398944398944,37784437,1163286,3.078743769557821
2020-10-12,87912,2105,2.3944398944398944,38069264,1167916,3.0678712359661064
2020-10-13,87912,2105,2.3944398944398944,38322635,1172382,3.059241620520092
2020-10-14,87912,2105,2.3944398944398944,38615023,1176802,3.047523757787222
2020-10-15,87912,2105,2.3944398944398944,38929320,1181539,3.0350876922586885
2020-10-16,87912,2105,2.3944398944398944,39268541,1186939,3.0226205755900124
2020-10-17,87912,2105,2.3944398944398944,39609578,1192333,3.0102138427225857
2020-10-18,100907,2210,2.190135471275531,40382540,1201372,2.974978790338597
2020-10-19,100907,2210,2.190135471275531,40686120,1206197,2.9646400295727386
2020-10-20,100907,2210,2.190135471275531,40959765,1210952,2.9564427432628095
2020-10-21,100907,2210,2.190135471275531,41302495,1216008,2.944151436856296
2020-10-22,100907,2210,2.190135471275531,41673434,1221651,2.9314862797243926
2020-10-23,100907,2210,2.190135471275531,42059584,1227721,2.919004144215977
2020-10-24,100907,2210,2.190135471275531,42451007,1233376,2.9054104652923782
